Sl. No,Theme,Action,Brief Description of Activity,
476,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
477,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
478,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
479,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
480,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
481,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
482,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
483,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
484,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
485,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
486,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
487,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
488,Energy Saved,Use bicycles for local or short commute,"Social Media Campaign for World Environment Day, promoting Mission LiFE.",
489,Energy Saved,Use bicycles for local or short commute,"Social Media Campaign for World Environment Day, promoting Mission LiFE.",
490,Energy Saved,Use bicycles for local or short commute,"Social Media Campaign for World Environment Day, promoting Mission LiFE.",
491,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
492,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
493,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
494,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
495,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
496,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles organises a beach cleaning drive at Beau Vallon beach on 5th June, 2023.",
497,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery,
498,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery,
499,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery,
500,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery,
501,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery,
502,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
503,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
504,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
505,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
506,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
507,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
508,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
509,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
510,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
511,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
512,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
513,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
514,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
515,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
516,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
517,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
518,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
519,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
520,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
521,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
522,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
523,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
524,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Awareness Programmes as a part of World Environment Day Celebration 2023 and Mission LiFE program, on 5th and 6th of June 2023 at Indane Bottling Plant Cochin.",
525,Energy Saved,Use LED bulbs/ tube-lights,"“Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet.",
526,Energy Saved,Use LED bulbs/ tube-lights,"“Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet.",
527,Energy Saved,Use LED bulbs/ tube-lights,"“Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet.",
528,Energy Saved,Use LED bulbs/ tube-lights,"“Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet.",
529,Energy Saved,Use LED bulbs/ tube-lights,"“Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet.",
530,Waste Reduced (Swachhata Actions),"Recycle and reuse old newspapers, magazines",Promotion of #MissonLiFE on Social Media,
531,Sustainable Food Systems Adopted,Compost food waste at home,Promotion of #MissionLiFE on social media and showcasing of pictures and vidoes on how natural medicines and organic products can support Mission LiFE in the Consulate.,
532,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.,
533,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.,
534,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.,
535,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.,
536,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.,
537,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
538,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
539,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
540,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
541,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
542,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
543,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
544,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
545,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
546,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
547,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
548,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
549,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
550,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
551,Energy Saved,Use bicycles for local or short commute,Bike Rally on 4 June 2023 On the occasion of World Environment Day.,
552,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
553,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
554,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
555,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
556,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
557,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
558,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
559,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
560,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree planting event to mark World Environment Day.,
561,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
562,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
563,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
564,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
565,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
566,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
567,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
568,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
569,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
570,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
571,Energy Saved,Use LED bulbs/ tube-lights,"Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised.",
572,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
573,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
574,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
575,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
576,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
577,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
578,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally and Pledge Administration,
579,Single-Use Plastic Reduced,Participate in and mobilize participation for clean-up drives of cities and water bodies,Plogging at Mahandi River Estuary for clean-up of plastic waste.,
580,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Sapling plantation,
581,LiFEStyles Adopted,Start biodiversity conservation at community level,Release of fauna into water pond for biodiversity conservation.,
582,Energy Saved,Use LED bulbs/ tube-lights,"Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023.",
583,Energy Saved,Use LED bulbs/ tube-lights,"Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023.",
584,Energy Saved,Use LED bulbs/ tube-lights,"Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023.",
585,Energy Saved,Use LED bulbs/ tube-lights,"Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023.",
586,Energy Saved,Use LED bulbs/ tube-lights,"Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023.",
